S.No,State Name,Population  (> 18Y) (Projected 2023)*,Numbers of  Aadhaar assigned (LIVE),Saturation % (LIVE)
1,A & N Islands,"3,11,962","3,02,307",96.90%
2,Andhra Pradesh,"3,97,97,266","4,04,44,784",101.63%
3,Arunachal Pradesh,"12,09,143","9,02,781",74.66%
4,Assam,"2,41,10,326","2,28,78,345",94.89%
5,Bihar,"7,56,40,839","7,60,08,859",100.49%
6,Chandigarh**,"8,59,050","8,71,626",101.46%
7,Chhattisgarh,"2,01,07,720","2,07,60,288",103.25%
8,Dadra & Nagar Haveli and Daman & Diu**,"4,20,459","4,42,799",105.31%
9,Delhi,"1,65,33,992","1,71,16,960",103.53%
10,Goa,"12,19,207","13,18,699",108.16%
11,Gujarat,"5,01,12,689","4,94,31,422",98.64%
12,Haryana,"2,10,87,794","2,18,49,508",103.61%
13,Himachal Pradesh,"55,78,275","59,57,573",106.80%
14,Jammu Kashmir,"95,44,826","85,13,500",89.19%
15,Jharkhand,"2,55,06,048","2,50,83,032",98.34%
16,Karnataka,"4,95,36,832","4,98,20,317",100.57%
17,Kerala,"2,69,23,988","3,05,02,841",113.29%
18,Ladakh,"2,32,230","1,83,657",79.08%
19,Lakshadweep,"53,413","57,378",107.42%
20,Madhya Pradesh,"5,62,90,282","5,71,40,691",101.51%
21,Maharashtra,"9,28,66,370","9,17,90,565",98.84%
22,Manipur,"24,94,923","19,59,572",78.54%
23,Meghalaya,"25,92,459","17,28,166",66.66%
24,Mizoram,"9,58,335","8,53,061",89.01%
25,Nagaland,"17,28,564","10,69,480",61.87%
26,Odisha,"3,29,66,908","3,34,80,901",101.56%
27,Puducherry**,"10,52,880","10,33,205",98.13%
28,Punjab,"2,30,31,041","2,45,83,623",106.74%
29,Rajasthan,"5,26,42,080","5,50,57,282",104.59%
30,Sikkim,"5,33,355","4,85,859",91.09%
31,Tamil Nadu,"5,82,38,034","5,97,11,770",102.53%
32,Telangana,"2,80,35,654","2,98,81,931",106.59%
33,Tripura,"32,10,191","29,77,881",92.76%
34,Uttar Pradesh,"15,04,75,821","15,69,70,063",104.32%
35,Uttarakhand,"82,31,348","85,73,956",104.16%
36,West Bengal,"7,33,61,036","7,59,22,677",103.49%
,,,,
TOTAL,,"95,74,95,339","97,56,67,361",101.90%
*As per RGI data,,,,
"**The revised population updated as received from UT administration office of DD and DNH vide letter
COL/Aadhaar-Awareness/2021-22/3060 dated 02 Nov 21",,,,
**The revised population of Chandigarh updated as received from RO Chandigarh RO-CHD-17020/4/2020-RO- CHD/2859 Dated 17.12.2021,,,,
**The revised population of Puducherry updated as received from RO Bengaluru  Dated 27.12.2021,,,,
,,,,
,,,,
,,,,
,,,,
