Sl. No.,India/State/UT,Total Enrolment,Aadhaar Number Provided
1,Andaman and Nicobar Islands,72119,71401
2,Andhra Pradesh,8741885,8574678
3,Arunachal Pradesh,323717,226301
4,Assam,6922533,4079408
5,Bihar,21348149,8285743
6,Chandigarh,265706,251833
7,Chhattisgarh,5776548,5117361
8,Dadra and Nagar Haveli and Daman and Diu,141282,131556
9,Delhi,4506578,4052231
10,Goa,304735,279296
11,Gujarat,11496709,9684433
12,Haryana,5599742,5322753
13,Himachal Pradesh,1426412,1321813
14,Jammu and Kashmir,2629949,2240346
15,Jharkhand,7143255,5958289
16,Karnataka,11926303,10238523
17,Kerala,6281704,5749074
18,Ladakh,56642,39857
19,Lakshadweep,12591,12460
20,Madhya Pradesh,15361543,12284969
21,Maharashtra,21375970,20892428
22,Manipur,647434,335497
23,Meghalaya,1052884,254583
24,Mizoram,293763,213575
25,Nagaland,412975,219834
26,Odisha,7756910,6916691
27,Puducherry,244828,239101
28,Punjab,5988681,5203203
29,Rajasthan,16786065,10725517
30,Sikkim,121395,70026
31,Tamil Nadu,12993050,11591587
32,Telangana,7293644,6558231
33,Tripura,689408,562615
34,Uttar Pradesh,41662794,32439867
35,Uttarakhand,2372400,2054234
36,West Bengal,18015525,14801745
